ind_id;nr_rapp;question;name_short;name_long;type;sourse;geo_cat;cat_type;cat_code;aim_direction;period_order;period;sex_all;comment;value;n;ci_low;ci_high
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Blekinge;LAN;10;0;0;2017;Totalt;;26606.33741;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Dalarna;LAN;20;0;0;2017;Totalt;;24596.45206;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Gotland;LAN;9;0;0;2017;Totalt;;26993.92985;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Gavleborg;LAN;21;0;0;2017;Totalt;;26027.83449;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Halland;LAN;13;0;0;2017;Totalt;;25372.90945;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Jamtland;LAN;23;0;0;2017;Totalt;;26978.76942;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Jonkoping;LAN;6;0;0;2017;Totalt;;24782.441;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Kalmar;LAN;8;0;0;2017;Totalt;;24427.31812;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Kronoberg;LAN;7;0;0;2017;Totalt;;25870.09139;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Norrbotten;LAN;25;0;0;2017;Totalt;;25578.80361;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;RIKET;RR;46;0;0;2017;Totalt;;25326.08439;;;
35;1;Hur mycket betalar vi for halso- och sjukvarden?;Landstingens halso- och sjukvardskostnad (strukturjusterad);Landstingens strukturjusterade halso- och sjukvardskostnader per invanare. Primarvardsansluten hemsjukvard, tandvard och omstruktureringskostnader ar exkluderade;Kronor;Sveriges Kommuner och Landsting och Statistiska centralbyran;Skane;LAN;12;0;0;2017;Totalt;;24514.92272;;;
